q,xpswmm
200,104.028
95.62,104.337
104.707,104.629
113.483,104.91
122.88,105.177
133.441,105.431
141.153,105.671
147.842,105.9
153.979,106.119
159.637,106.33
164.89,106.532
169.789,106.727
174.375,106.914
178.683,107.094
182.742,107.268
186.574,107.436
190.202,107.598
193.647,107.755
196.915,107.906
200.03,108.053
202.995,108.195
205.821,108.332
208.519,108.464
211.095,108.593
213.564,108.717
215.923,108.837
218.186,108.954
220.356,109.066
222.438,109.176
224.438,109.282
226.359,109.384
228.206,109.484
229.982,109.58
231.691,109.674
233.337,109.765
234.92,109.853
236.449,109.938
237.92,110.021
239.34,110.101
240.711,110.179
242.03,110.255
243.304,110.328
244.534,110.4
245.721,110.469
246.868,110.536
247.974,110.601
249.044,110.664
250.076,110.725
251.074,110.784
252.04,110.841
252.969,110.897
253.868,110.951
254.738,111.004
255.579,111.055
256.389,111.104
257.174,111.152
257.934,111.198
258.666,111.243
259.374,111.286
260.057,111.329
260.718,111.369
261.356,111.409
261.974,111.447
262.569,111.484
263.145,111.52
263.7,111.555
264.237,111.588
264.754,111.621
265.253,111.652
265.735,111.683
266.148,111.712
266.647,111.74
267.031,111.768
267.496,111.794
267.853,111.819
268.284,111.844
268.614,111.868
269.014,111.891
269.319,111.913
269.689,111.934
269.972,111.954
270.314,111.974
270.575,111.992
270.887,112.011
271.128,112.028
271.417,112.045
271.637,112.061
271.902,112.076
272.103,112.09
272.344,112.104
272.531,112.118
272.748,112.131
272.915,112.143
273.115,112.154
273.266,112.165
273.446,112.176
273.582,112.186
273.743,112.195
273.863,112.204
274.007,112.212
274.112,112.22
274.239,112.227
274.332,112.234
274.441,112.24
274.524,112.246
274.617,112.252
274.686,112.257
274.765,112.261
274.822,112.266
274.889,112.269
274.935,112.273
274.985,112.276
275.023,112.278
275.062,112.281
275.088,112.283
275.113,112.284
275.131,112.285
275.147,112.286
275.153,112.287
275.158,112.287
275.157,112.287
275.151,112.287
275.141,112.286
275.125,112.285
275.109,112.284
275.082,112.282
275.056,112.28
275.02,112.278
274.988,112.276
274.944,112.273
274.905,112.27
274.854,112.267
274.808,112.264
274.748,112.26
274.694,112.256
274.626,112.252
274.567,112.248
274.491,112.244
274.428,112.239
274.344,112.234
274.277,112.229
274.186,112.224
274.111,112.218
274.015,112.213
273.937,112.207
273.833,112.201
273.749,112.195
273.64,112.188
273.553,112.182
273.439,112.175
273.344,112.168
273.226,112.161
273.126,112.154
273.002,112.147
272.902,112.14
272.771,112.132
272.665,112.124
272.533,112.117
272.423,112.109
272.284,112.1
272.171,112.092
272.029,112.084
271.911,112.076
271.764,112.067
271.647,112.058
271.495,112.05
271.371,112.041
271.216,112.032
271.091,112.023
270.931,112.013
270.804,112.004
270.641,111.995
270.51,111.985
270.344,111.976
270.211,111.966
270.042,111.956
269.906,111.946
269.736,111.937
269.597,111.927
269.42,111.917
269.281,111.906
269.104,111.896
268.958,111.886
268.779,111.876
268.635,111.865
268.452,111.855
268.304,111.844
268.118,111.833
267.968,111.823
267.781,111.812
267.63,111.801
267.44,111.79
267.288,111.78
267.095,111.769
266.941,111.758
266.746,111.746
266.591,111.735
266.395,111.724
266.235,111.713
266.038,111.702
265.879,111.69
265.68,111.679
265.52,111.668
265.318,111.656
265.157,111.645
264.983,111.633
264.799,111.622
264.616,111.61
264.431,111.599
264.245,111.587
264.059,111.575
263.873,111.564
263.685,111.552
263.495,111.54
263.307,111.528
263.118,111.516
262.927,111.505
262.736,111.493
262.544,111.481
262.354,111.469
262.162,111.457
261.968,111.445
261.776,111.433
261.582,111.421
261.386,111.409
261.192,111.397
260.998,111.385
260.802,111.373
260.606,111.36
260.409,111.348
260.212,111.336
260.016,111.324
259.817,111.312
259.62,111.299
259.421,111.287
259.223,111.275
259.023,111.263
258.823,111.251
258.623,111.238
258.423,111.226
258.223,111.214
258.022,111.201
257.819,111.189
257.617,111.177
257.415,111.164
257.213,111.152
257.01,111.14
256.808,111.127
256.604,111.115
256.401,111.102
256.197,111.09
255.992,111.078
255.788,111.065
255.583,111.053
255.379,111.04
255.174,111.028
254.967,111.016
254.763,111.003
254.556,110.991
254.35,110.978
254.144,110.966
253.937,110.953
253.731,110.941
253.523,110.928
253.317,110.916
253.109,110.904
252.902,110.891
252.694,110.879
252.486,110.866
252.279,110.854
252.07,110.841
251.862,110.829
251.653,110.816
251.445,110.804
251.236,110.791
251.027,110.779
250.818,110.767
250.609,110.754
250.4,110.742
250.19,110.729
249.98,110.717
249.769,110.704
249.56,110.692
249.349,110.679
249.139,110.667
248.929,110.655
248.719,110.642
248.507,110.63
248.296,110.617
248.086,110.605
247.875,110.592
247.664,110.58
247.451,110.568
247.238,110.555
247.029,110.543
246.816,110.53
246.605,110.518
246.392,110.506
246.181,110.493
245.97,110.481
245.758,110.469
245.546,110.456
245.334,110.444
245.122,110.432
244.909,110.419
244.696,110.407
244.483,110.395
244.272,110.382
244.059,110.37
243.847,110.358
243.633,110.345
243.419,110.333
243.207,110.321
242.993,110.308
242.78,110.296
242.566,110.284
242.354,110.272
242.141,110.259
241.927,110.247
241.715,110.235
241.502,110.223
241.288,110.21
241.073,110.198
240.861,110.186
240.649,110.174
240.433,110.162
240.218,110.149
240.004,110.137
239.791,110.125
239.578,110.113
239.366,110.101
239.15,110.089
238.936,110.077
238.722,110.064
238.507,110.052
238.293,110.04
238.08,110.028
237.866,110.016
237.651,110.004
237.437,109.992
237.224,109.98
237.007,109.968
236.793,109.956
236.579,109.944
236.365,109.932
236.15,109.92
235.937,109.908
235.721,109.896
235.506,109.884
235.292,109.872
235.077,109.86
234.864,109.848
234.65,109.836
234.435,109.824
234.218,109.812
234.004,109.8
233.789,109.788
233.575,109.776
233.36,109.764
233.144,109.752
232.929,109.74
232.715,109.729
232.502,109.717
232.285,109.705
232.07,109.693
231.855,109.681
231.641,109.669
231.427,109.658
231.21,109.646
230.994,109.634
230.78,109.622
230.566,109.61
230.351,109.599
230.136,109.587
229.92,109.575
229.704,109.563
229.49,109.552
229.275,109.54
229.061,109.528
228.844,109.517
228.628,109.505
228.413,109.493
228.199,109.482
227.983,109.47
227.767,109.458
227.552,109.447
227.338,109.435
227.122,109.424
226.906,109.412
226.691,109.4
226.478,109.389
226.263,109.377
226.045,109.366
225.83,109.354
225.614,109.343
225.399,109.331
225.184,109.32
224.971,109.308
224.753,109.297
224.539,109.285
224.323,109.274
224.106,109.262
223.891,109.251
223.677,109.239
223.463,109.228
223.248,109.217
223.03,109.205
222.815,109.194
222.601,109.182
222.383,109.171
222.169,109.16
221.955,109.148
221.737,109.137
221.523,109.126
221.308,109.114
221.09,109.103
220.876,109.092
220.662,109.08
220.444,109.069
220.23,109.058
220.014,109.047
219.798,109.035
219.583,109.024
219.369,109.013
219.152,109.002
218.938,108.991
218.719,108.979
218.505,108.968
218.289,108.957
218.073,108.946
217.857,108.935
217.641,108.924
217.426,108.913
217.212,108.901
216.995,108.89
216.779,108.879
216.566,108.868
216.351,108.857
216.134,108.846
215.918,108.835
215.702,108.824
215.487,108.813
215.272,108.802
215.056,108.791
214.839,108.78
214.623,108.769
214.409,108.758
214.194,108.747
213.977,108.736
213.762,108.725
213.545,108.714
213.332,108.703
213.114,108.692
212.898,108.681
212.686,108.671
212.468,108.66
212.252,108.649
212.036,108.638
211.822,108.627
211.607,108.616
211.39,108.606
211.176,108.595
210.958,108.584
210.742,108.573
210.529,108.562
210.312,108.552
210.098,108.541
209.882,108.53
209.666,108.519
209.45,108.509
209.235,108.498
209.018,108.487
208.802,108.477
208.586,108.466
208.37,108.455
208.155,108.445
207.939,108.434
207.724,108.423
207.51,108.413
207.294,108.402
207.076,108.392
206.863,108.381
206.647,108.37
206.431,108.36
206.216,108.349
205.999,108.339
205.783,108.328
205.567,108.318
205.353,108.307
205.137,108.297
204.921,108.286
204.703,108.276
204.488,108.265
204.275,108.255
204.059,108.244
203.843,108.234
203.627,108.223
203.413,108.213
203.197,108.203
202.98,108.192
202.765,108.182
202.549,108.172
202.333,108.161
202.119,108.151
201.902,108.14
201.685,108.13
201.472,108.12
201.253,108.11
201.038,108.099
200.823,108.089
200.609,108.079
200.39,108.068
200.176,108.058
199.962,108.048
199.746,108.038
199.528,108.028
199.315,108.017
199.096,108.007
198.883,107.997
198.668,107.987
198.449,107.977
198.235,107.967
198.019,107.956
197.803,107.946
197.587,107.936
197.371,107.926
197.156,107.916
196.943,107.906
196.726,107.896
196.508,107.886
196.296,107.876
196.077,107.866
195.864,107.856
195.649,107.846
195.432,107.836
195.217,107.826
195.001,107.816
194.784,107.806
194.571,107.796
194.356,107.786
194.138,107.776
193.924,107.766
193.709,107.756
193.495,107.746
193.278,107.736
193.061,107.726
192.847,107.717
192.629,107.707
192.417,107.697
192.199,107.687
191.985,107.677
191.77,107.668
191.555,107.658
191.341,107.648
191.123,107.638
190.91,107.628
190.693,107.619
190.477,107.609
190.263,107.599
190.046,107.59
189.83,107.58
189.613,107.57
189.401,107.56
189.183,107.551
188.97,107.541
188.755,107.531
188.539,107.522
188.321,107.512
188.108,107.503
187.893,107.493
187.678,107.483
187.462,107.474
187.247,107.464
187.03,107.455
186.815,107.445
186.603,107.436
186.384,107.426
186.171,107.417
185.953,107.407
185.74,107.398
185.522,107.388
185.309,107.379
185.092,107.369
184.879,107.36
184.662,107.35
184.446,107.341
184.232,107.331
184.018,107.322
183.799,107.313
183.588,107.303
183.369,107.294
183.154,107.285
182.939,107.275
182.724,107.266
182.509,107.257
182.294,107.247
182.079,107.238
181.86,107.229
181.648,107.219
181.43,107.21
181.218,107.201
181.001,107.192
180.786,107.182
180.571,107.173
180.354,107.164
180.14,107.155
179.922,107.145
179.709,107.136
179.494,107.127
179.278,107.118
179.064,107.109
178.847,107.1
178.633,107.09
178.415,107.081
178.201,107.072
177.987,107.063
177.771,107.054
177.555,107.045
177.34,107.036
177.126,107.027
176.908,107.018
176.692,107.009
176.479,107
176.262,106.991
176.045,106.982
175.832,106.973
175.616,106.964
175.399,106.955
175.185,106.946
174.969,106.937
174.755,106.928
174.54,106.919
174.323,106.91
174.106,106.901
173.894,106.892
173.678,106.883
173.461,106.875
173.246,106.866
173.029,106.857
172.815,106.848
172.602,106.839
172.384,106.83
172.167,106.822
171.951,106.813
171.736,106.804
171.521,106.795
171.309,106.787
171.089,106.778
170.876,106.769
170.662,106.76
170.445,106.752
170.227,106.743
170.015,106.734
169.799,106.726
169.582,106.717
169.37,106.708
169.151,106.7
168.939,106.691
168.722,106.682
168.506,106.674
168.29,106.665
168.077,106.656
167.861,106.648
167.643,106.639
167.427,106.631
167.215,106.622
166.997,106.614
166.784,106.605
166.564,106.597
166.35,106.588
166.135,106.58
165.918,106.571
165.705,106.563
165.49,106.554
165.274,106.546
165.056,106.537
164.842,106.529
164.626,106.52
164.412,106.512
164.195,106.504
163.982,106.495
163.766,106.487
163.55,106.478
163.333,106.47
163.118,106.462
162.902,106.453
162.686,106.445
162.472,106.437
162.254,106.429
162.039,106.42
161.823,106.412
161.606,106.404
161.39,106.395
161.176,106.387
160.962,106.379
160.747,106.371
160.532,106.363
160.315,106.354
160.1,106.346
159.886,106.338
159.668,106.33
159.451,106.322
159.238,106.313
159.021,106.305
158.807,106.297
158.59,106.289
158.377,106.281
158.161,106.273
157.944,106.265
157.729,106.257
157.51,106.249
157.295,106.241
157.079,106.233
156.864,106.225
156.651,106.217
156.432,106.209
156.221,106.201
156.001,106.193
155.786,106.185
155.572,106.177
155.357,106.169
155.138,106.161
154.925,106.153
154.707,106.145
154.494,106.137
154.275,106.129
154.065,106.121
153.847,106.113
153.631,106.105
153.414,106.098
153.2,106.09
152.982,106.082
152.771,106.074
152.554,106.066
152.336,106.059
152.119,106.051
151.903,106.043
151.688,106.035
151.472,106.027
151.26,106.02
151.043,106.012
150.825,106.004
150.613,105.997
150.398,105.989
150.181,105.981
149.964,105.974
149.751,105.966
149.534,105.958
149.316,105.951
149.102,105.943
148.885,105.935
148.669,105.928
148.457,105.92
148.239,105.912
148.022,105.905
147.808,105.897
147.591,105.89
147.375,105.882
147.16,105.875
146.947,105.867
146.729,105.86
146.515,105.852
146.299,105.845
146.083,105.837
145.865,105.83
145.65,105.822
145.437,105.815
145.22,105.807
145.006,105.8
144.789,105.793
144.573,105.785
144.358,105.778
144.143,105.77
143.925,105.763
143.71,105.756
143.496,105.748
143.278,105.741
143.063,105.734
142.848,105.726
142.633,105.719
142.415,105.712
142.199,105.704
141.981,105.697
141.767,105.69
141.555,105.683
141.339,105.675
141.124,105.668
140.906,105.661
140.691,105.654
140.473,105.647
140.259,105.639
140.043,105.632
139.83,105.625
139.611,105.618
139.394,105.611
139.179,105.604
138.963,105.597
138.746,105.59
138.533,105.582
138.315,105.575
138.102,105.568
137.884,105.561
137.669,105.554
137.454,105.547
137.237,105.54
137.026,105.533
136.809,105.526
136.591,105.519
136.376,105.512
136.16,105.505
135.947,105.498
135.729,105.491
135.515,105.484
135.301,105.477
135.087,105.471
134.848,105.464
134.564,105.457
134.292,105.45
134.018,105.444
133.753,105.437
133.488,105.431
133.227,105.424
132.971,105.418
132.711,105.412
132.456,105.406
132.201,105.4
131.956,105.394
131.705,105.388
131.457,105.382
131.216,105.376
130.973,105.37
130.738,105.365
130.496,105.359
130.265,105.353
130.025,105.348
129.797,105.342
129.559,105.337
129.333,105.331
129.099,105.326
128.877,105.32
128.648,105.315
128.426,105.31
128.195,105.304
127.973,105.299
127.751,105.294
127.533,105.288
127.306,105.283
127.087,105.278
126.868,105.273
126.654,105.267
126.439,105.262
126.22,105.257
126.001,105.252
125.788,105.247
125.575,105.242
125.356,105.237
125.15,105.231
124.93,105.226
124.718,105.221
124.509,105.216
124.296,105.211
124.088,105.206
123.877,105.201
123.668,105.196
123.461,105.191
123.249,105.185
123.043,105.18
122.837,105.175
122.626,105.17
122.423,105.165
122.211,105.16
122.011,105.155
121.803,105.15
121.597,105.145
121.39,105.14
121.187,105.134
120.981,105.129
120.779,105.124
120.574,105.119
120.368,105.114
120.171,105.109
119.967,105.104
119.76,105.098
119.56,105.093
119.355,105.088
119.153,105.083
118.953,105.078
118.75,105.073
118.55,105.067
118.349,105.062
118.151,105.057
117.973,105.052
117.805,105.046
117.636,105.041
117.467,105.035
117.297,105.03
117.119,105.024
116.941,105.019
116.769,105.013
116.589,105.008
116.41,105.002
116.231,104.996
116.046,104.99
115.863,104.984
115.68,104.979
115.491,104.973
115.308,104.967
115.12,104.961
114.933,104.955
114.741,104.949
114.55,104.943
114.362,104.937
114.168,104.93
113.978,104.924
113.782,104.918
113.59,104.912
113.396,104.906
113.201,104.9
113.007,104.893
112.81,104.887
112.614,104.881
112.414,104.874
112.218,104.868
112.023,104.862
111.821,104.856
111.622,104.849
111.425,104.843
111.227,104.836
111.023,104.83
110.824,104.824
110.622,104.817
110.423,104.811
110.223,104.804
110.022,104.798
109.818,104.792
109.614,104.785
109.413,104.779
109.21,104.772
109.007,104.766
108.805,104.759
108.604,104.753
108.398,104.746
108.196,104.74
107.994,104.733
107.791,104.727
107.586,104.72
107.377,104.714
107.176,104.707
106.969,104.701
106.764,104.694
106.558,104.687
106.354,104.681
106.149,104.674
105.944,104.668
105.738,104.661
105.533,104.655
105.328,104.648
105.125,104.642
104.916,104.635
104.711,104.628
104.508,104.622
104.299,104.615
104.098,104.609
103.892,104.602
103.685,104.595
103.479,104.589
103.272,104.582
103.066,104.576
102.858,104.569
102.654,104.562
102.446,104.556
102.239,104.549
102.031,104.542
101.831,104.536
101.623,104.529
101.416,104.523
101.211,104.516
101.003,104.509
100.795,104.503
100.589,104.496
100.381,104.489
100.175,104.483
99.968,104.476
99.76,104.469
99.554,104.463
99.348,104.456
99.144,104.449
98.937,104.443
98.725,104.436
98.52,104.429
98.314,104.423
98.104,104.416
97.901,104.409
97.691,104.403
97.488,104.396
97.279,104.389
97.069,104.383
96.864,104.376
96.657,104.369
96.448,104.363
96.243,104.356
96.034,104.349
95.83,104.343
95.621,104.336
95.415,104.329
95.208,104.323
95,104.316
94.793,104.309
94.587,104.302
94.381,104.296
94.175,104.289
93.966,104.282
93.763,104.276
93.552,104.269
93.347,104.262
93.14,104.256
92.933,104.249
92.725,104.242
92.524,104.235
92.316,104.229
92.108,104.222
91.903,104.215
91.694,104.209
91.487,104.202
91.28,104.195
91.075,104.188
90.867,104.182
90.659,104.175
90.452,104.168
90.248,104.162
90.039,104.155
89.833,104.148
89.631,104.141
89.42,104.135
89.218,104.128
89.009,104.121
88.802,104.114
88.599,104.108
88.388,104.101
88.185,104.094
87.979,104.087
87.769,104.081
87.564,104.074
87.354,104.067
87.152,104.06
86.947,104.054
86.738,104.047
86.528,104.04
86.326,104.033
86.115,104.027
85.908,104.02
85.705,104.013
85.499,104.006
85.289,104
85.088,103.993
84.876,103.986
84.674,103.979
84.466,103.972
84.26,103.966
84.055,103.959
83.847,103.952
83.641,103.945
83.437,103.939
83.229,103.932
83.026,103.925
82.82,103.918
82.613,103.911
82.407,103.905
82.204,103.898
81.993,103.891
81.787,103.884
81.58,103.877
81.379,103.871
81.169,103.864
80.963,103.857
80.759,103.85
80.554,103.843
80.344,103.836
80.142,103.83
79.936,103.823
79.725,103.816
79.52,103.809
79.315,103.802
79.109,103.795
78.904,103.788
78.698,103.782
78.491,103.775
78.283,103.768
78.078,103.761
77.87,103.754
77.665,103.747
77.458,103.74
77.257,103.734
77.05,103.727
76.843,103.72
76.634,103.713
76.432,103.706
76.223,103.699
76.019,103.692
75.809,103.685
75.604,103.679
75.401,103.672
75.192,103.665
74.987,103.658
74.781,103.651
74.577,103.644
74.368,103.637
74.165,103.63
73.961,103.623
73.754,103.616
73.548,103.609
73.343,103.603
73.139,103.596
72.932,103.589
72.728,103.582
72.522,103.575
72.316,103.568
72.111,103.561
71.903,103.554
71.698,103.547
71.494,103.54
71.288,103.533
71.082,103.526
70.876,103.519
70.67,103.512
70.467,103.505
70.262,103.498
70.054,103.491
69.851,103.484
69.644,103.477
69.44,103.47
69.232,103.463
69.025,103.456
68.823,103.449
68.614,103.442
68.411,103.435
68.206,103.428
67.997,103.421
67.796,103.414
67.589,103.407
67.381,103.4
67.178,103.393
66.971,103.386
66.766,103.379
66.557,103.372
66.356,103.365
66.147,103.358
65.941,103.351
65.736,103.344
65.532,103.337
65.324,103.33
65.122,103.322
64.913,103.315
64.709,103.308
64.502,103.301
64.301,103.294
64.095,103.287
63.892,103.28
63.685,103.273
63.484,103.266
63.277,103.259
63.075,103.252
62.866,103.244
62.666,103.237
62.459,103.23
62.253,103.223
62.05,103.216
61.843,103.209
61.64,103.202
61.436,103.194
61.23,103.187
61.027,103.18
60.819,103.173
60.618,103.166
60.411,103.159
60.207,103.151
60.001,103.144
59.798,103.137
59.589,103.13
59.387,103.123
59.18,103.115
58.979,103.108
58.774,103.101
58.568,103.094
58.362,103.087
58.158,103.079
57.95,103.072
57.748,103.065
57.545,103.058
57.338,103.05
57.133,103.043
56.929,103.036
56.722,103.029
56.515,103.021
56.311,103.014
56.107,103.007
55.902,102.999
55.697,102.992
55.491,102.985
55.289,102.978
55.086,102.97
54.882,102.963
54.68,102.956
54.476,102.948
54.272,102.941
54.071,102.934
53.866,102.926
53.665,102.919
53.462,102.912
53.258,102.904
53.052,102.897
52.846,102.89
52.645,102.882
52.442,102.875
52.238,102.867
52.035,102.86
51.829,102.853
51.627,102.845
51.424,102.838
51.22,102.83
51.016,102.823
50.808,102.815
50.604,102.808
50.401,102.801
50.197,102.793
49.992,102.786
49.788,102.778
49.586,102.771
49.382,102.763
49.177,102.756
48.973,102.748
48.767,102.741
48.565,102.733
48.36,102.726
48.156,102.718
47.952,102.711
47.748,102.703
47.543,102.696
47.341,102.688
47.138,102.681
46.93,102.673
46.729,102.665
46.532,102.658
46.329,102.65
46.126,102.643
45.924,102.635
45.721,102.627
45.521,102.62
45.322,102.612
45.119,102.605
44.915,102.597
44.713,102.589
44.514,102.582
44.309,102.574
44.109,102.566
43.904,102.559
43.702,102.551
43.501,102.543
43.297,102.535
43.096,102.528
42.89,102.52
42.69,102.512
42.487,102.505
42.283,102.497
42.084,102.489
41.879,102.481
41.676,102.473
41.471,102.466
41.27,102.458
41.065,102.45
40.867,102.442
40.66,102.435
40.461,102.427
40.258,102.419
40.051,102.411
39.851,102.403
39.648,102.395
39.442,102.387
39.241,102.38
39.038,102.372
38.841,102.364
38.638,102.356
38.443,102.348
38.24,102.34
38.041,102.332
37.84,102.324
37.64,102.316
37.407,102.308
37.24,102.3
37.041,102.292
36.838,102.284
36.64,102.276
36.437,102.268
36.237,102.26
36.034,102.252
35.833,102.244
35.636,102.236
35.436,102.228
35.233,102.22
35.032,102.212
34.829,102.204
34.628,102.196
34.426,102.187
34.226,102.179
34.023,102.171
33.824,102.163
33.623,102.155
33.389,102.147
33.22,102.138
33.016,102.13
32.784,102.122
32.616,102.114
32.413,102.106
32.213,102.097
32.009,102.089
31.811,102.081
31.614,102.072
31.418,102.064
31.219,102.056
31.024,102.048
30.825,102.039
30.628,102.031
30.432,102.022
30.233,102.014
30.036,102.006
29.838,101.997
29.639,101.989
29.44,101.98
29.241,101.972
29.043,101.963
28.842,101.955
28.645,101.946
28.449,101.938
28.249,101.929
28.049,101.921
27.852,101.912
27.652,101.904
27.451,101.895
27.254,101.887
27.054,101.878
26.855,101.869
26.654,101.861
26.455,101.852
26.256,101.843
26.057,101.835
25.857,101.826
25.656,101.817
25.457,101.809
25.264,101.8
25.07,101.791
24.878,101.782
24.684,101.774
24.488,101.765
24.294,101.756
24.101,101.747
23.906,101.738
23.711,101.729
23.517,101.72
23.322,101.711
23.126,101.702
22.933,101.693
22.738,101.684
22.543,101.675
22.349,101.666
22.151,101.657
21.957,101.648
21.759,101.639
21.565,101.63
21.368,101.621
21.138,101.612
20.976,101.603
20.779,101.593
20.583,101.584
20.386,101.575
20.19,101.566
19.992,101.557
19.797,101.547
19.604,101.538
19.415,101.529
19.224,101.519
19.037,101.51
18.817,101.501
18.657,101.491
18.469,101.482
18.25,101.472
18.09,101.463
17.9,101.453
17.711,101.444
17.52,101.434
17.33,101.425
17.137,101.415
16.949,101.405
16.755,101.396
16.533,101.386
16.372,101.376
16.183,101.366
15.959,101.357
16.334,101.347
17.867,101.335
19.551,101.32
21.302,101.303
22.768,101.283
23.657,101.261
23.872,101.238
23.573,101.215
22.983,101.192
22.262,101.17
21.495,101.148
20.722,101.128
19.959,101.108
19.212,101.089
18.484,101.071
17.762,101.053
17.041,101.036
16.313,101.02
15.568,101.005
14.792,100.991
13.959,100.977
13.03,100.964
11.906,100.953
10.468,100.943
8.473,100.935
5.521,100.931
1.366,100.931
-13.431,100.944
-25.506,100.978
-32.878,101.025
-37.224,101.081
-38.944,101.139
-38.864,101.199
-37.648,101.257
-35.645,101.313
-33.135,101.365
-30.299,101.412
-27.257,101.455
-24.082,101.494
-20.804,101.527
-17.447,101.555
-14.067,101.578
-10.676,101.596
-10.676,101.596
